priority;company;region;sector;why_good_fit;what_to_sell;primary_channel;public_contact_or_route;linkedin_target_roles;first_subject_or_hook;exact_first_action;source_notes
11;Gestamp;Spain / global;Automotive Tier 1 metal components;Metal forming, welding, stamping, plant quality, Industry 4.0 orientation.;Visual defect inspection on stamped/welded parts + line risk ranking.;Official contact/suppliers + LinkedIn;"Use Gestamp Contact Us / Suppliers routes; no direct email verified.";"Plant Quality; Industry 4.0; Manufacturing Engineering; Process Engineering; Innovation";Pilot for visual anomaly heatmaps on metal components;Send English/Spanish note via contact/supplier route and LinkedIn role targeting.;Official site shows Suppliers, Industry 4.0, Innovation and Contact Us.
12;Antolin;Castilla y León / global;Automotive Tier 1 interiors;Interior components, electronics, lighting, industrial design and digitalization contact area.;Visual quality for interiors, process deviation, electronic systems anomaly.;Official contact form;"Antolin contact form; phone +34 649 52 24 25";"Customer Development; Digitalización; Quality; Industrialization; Plant Manager";Pilot for interior-component quality and process-deviation alerts;Use Antolin form selecting Customer Development or Digitalización. Attach one-page note if possible.;Official contact page lists address, phone and contact areas.
13;CIE Automotive;Basque Country / global;Automotive Tier 1 components;Forging, machining, stamping, aluminium and plastics across many plants.;Sensor/engineered risk scoring, visual quality, process drift by machine/cell.;Official contact + LinkedIn;"Use CIE official contact/investor/corporate route; no public sales email verified.";"Operations; Quality; Plant Manager; Process Engineering; Maintenance";Pilot for machine-cell risk and component quality;LinkedIn first to plant/process roles, then official contact with brief deck.;Company public information confirms broad automotive component manufacturing.
14;Ficosa;Catalonia / global;Automotive electronics/components;Automotive systems, electronics, mirrors/cameras/connectivity, test logs and product quality.;Electronics/test-log anomaly, visual quality, telemetry-like sensor risk.;Official contact + LinkedIn;"Use Ficosa official contact route; no verified direct email here.";"Quality; Test Engineering; Electronics Manufacturing; R&D Operations; Industrialization";Pilot for electronics production anomaly and test-log ranking;Send English/Spanish note: one test station, historical pass/fail logs, 4-6 weeks.;Public sources confirm automotive systems/components focus.
15;Aernnova;Basque Country / Spain;Aerospace aerostructures;Aerostructures, composites, metallic components and strict quality requirements.;Visual NDT/defect ranking, process sensor risk, quality deviation alerts.;Official contact form;Aernnova contact form with team Sales / Procurement / General;"Quality; Manufacturing Engineering; Composites; NDT; Digital Manufacturing";Pilot for aerospace quality anomaly ranking;"Use official contact form selecting Sales/General; LinkedIn target quality/manufacturing roles.";Official contact page lists teams and HQ address.
16;ITP Aero;Basque Country / Spain;Aerospace propulsion / MRO;Engine components, MRO, diagnostics, digitisation and high-value assets.;Engine diagnostics anomaly, process deviation, quality inspection ranking.;Official contact form + LinkedIn;"Use ITP Aero service/support or corporate contact form; do not use privacy email for sales.";"Digitisation; Engine Diagnostics; MRO; Quality; Manufacturing Engineering";Pilot for diagnostics and predictive quality in engine/MRO processes;"LinkedIn first to digitisation/MRO/quality roles; then official form with concise pilot proposal.";Official site exposes Technology/Digitisation and contact form.
17;Airbus Spain;Spain;Aerospace OEM;Large aerospace manufacturing, composites, assembly, inspection and process control.;Visual inspection, NDT prioritization, process deviation, sensor risk.;Supplier/innovation route + LinkedIn;"Use Airbus supplier/innovation channels; no direct email verified.";"Quality; Manufacturing Engineering; Digital Manufacturing; NDT; Maintenance";Pilot for inspection prioritization in aerospace manufacturing;Use warm intro if possible. Cold outreach via LinkedIn to Spanish operations/digital manufacturing roles.;Contact route to verify before sending.
18;Navantia;Galicia / Spain;Shipbuilding / defense;Inspection, maintenance, welding, visual quality, traceability and industrial assets.;Weld/visual inspection heatmaps, sensor/process alerts, maintenance risk ranking.;Official contact/procurement + LinkedIn;"Use Navantia official contact/procurement route; no direct email verified.";"Quality; Digital Transformation; Maintenance; Shipyard Operations; Welding/Inspection";Pilot for shipyard inspection and predictive maintenance;Send Spanish email/note focused on one inspection or maintenance process, not broad platform.;Use official route to verify contact.
19;CAF;Basque Country / Spain;Rail manufacturing;Rolling stock production, maintenance, visual quality and sensor telemetry.;Rolling-stock visual inspection, maintenance risk scoring, test-log anomaly.;Official contact + LinkedIn;"Use CAF official contact route; no direct email verified.";"Quality; Maintenance; Manufacturing Engineering; Digital Services";Pilot for rail quality and maintenance alerts;Send Spanish/English note focused on inspection ranking and sensor risk.;Contact route to verify.
20;Talgo;Spain;Rail manufacturing;Train manufacturing/maintenance, quality and reliability.;Visual inspection, telemetry anomaly, maintenance risk.;Official contact + LinkedIn;"Use official contact/procurement route; no direct email verified.";"Maintenance; Quality; Digitalization; Manufacturing Engineering";Pilot for train maintenance and inspection prioritization;LinkedIn role targeting plus official contact form.;Contact route to verify.
21;Inditex Logistics / manufacturing;Galicia / Spain;Logistics / quality;Large Galicia-based operations, logistics, quality and visual/sensor data possibilities.;Visual anomaly, logistics risk, packaging/product quality ranking.;LinkedIn + corporate innovation route;No direct email verified. Use corporate/innovation route.;"Logistics Innovation; Quality; Automation; Computer Vision; Maintenance";Pilot for logistics/quality anomaly detection;"Position as long-term target; request one logistics/quality use case.";Not first pilot unless warm intro.
22;Jealsa / Frinsa;Galicia;Food / packaging;Visual inspection of cans/packaging, process sensors, quality control.;Packaging visual defect detection, process deviation, false-alarm reduction.;Official contact + LinkedIn;"Use official contact forms; no direct email verified here.";"Quality; Production; Maintenance; Industrial Engineering";Piloto de inspección visual y señales de proceso en alimentación;Spanish outreach focused on packaging/product quality, not abstract AI.;Verify official contact before sending.
23;Hijos de Rivera;Galicia;Food/beverage process industry;Process lines, packaging, quality, maintenance and sensor data.;Packaging/label visual inspection, process risk, maintenance alerts.;Official contact + LinkedIn;"Use official corporate contact route; no direct email verified here.";"Quality; Maintenance; Packaging; Digital Transformation; Production";Piloto de calidad predictiva en proceso y packaging;Spanish message focused on fewer late defects and clearer review queue.;Verify official contact before sending.
24;Nueva Pescanova;Galicia;Food / aquaculture;Aquaculture/process sensors, visual quality and cold-chain/process data.;Sensor anomaly detection, visual quality, process deviation alerts.;Official contact + LinkedIn;"Use official contact route; no direct email verified here.";"Quality; Aquaculture Operations; Maintenance; Digital Transformation";Piloto de anomalías en sensores y visión de calidad;Spanish message focused on process deviations and quality review.;Verify official contact before sending.
25;Zendal / CZ Vaccines;Galicia;Bioprocess / pharma;Strict process quality, deviations, time-series process signals.;Process deviation detection, early-warning risk scoring, batch-level quality.;Official contact + LinkedIn;"Use official corporate/contact route; no direct email verified here.";"Quality Assurance; Manufacturing; Process Engineering; Digitalization";Piloto de desviaciones tempranas en bioproceso;Use conservative regulated-industry wording: decision support, not autonomous release.;Verify official contact and compliance constraints.
26;Repsol;Spain;Energy/process industry;Process sensors, maintenance, anomaly detection and safety-critical operations.;SCADA/time-series anomaly, maintenance risk, process deviation.;Official innovation/procurement route + LinkedIn;"Use corporate innovation/procurement route; no direct email verified.";"Asset Performance; Reliability; Process Engineering; Digitalization; Maintenance";Pilot for process-deviation early warning;Position as sensor/process pilot with strict validation and no production claim.;"Large-company target; use warm route if possible."
27;Iberdrola;Spain;Energy / renewables;SCADA, wind/solar assets, predictive maintenance, anomaly detection.;SCADA/vibration risk scoring and asset alert prioritization.;Official innovation/startup/procurement route + LinkedIn;"Use official innovation/supplier route; no direct email verified.";"Asset Performance; O&M; Data Science; Digital Innovation";Pilot for asset anomaly ranking and false-alarm reduction;"Target innovation/startup programs; send concise one-pager.";"Large-company target; warm route preferred."
28;Grifols / Rovi / Reig Jofre;Spain;Pharma manufacturing;Batch process quality, regulated deviations and process sensors.;Process deviation, batch risk and quality support with human review.;Official contact + LinkedIn;"Use official corporate contact/procurement route; no direct email verified.";"Manufacturing Science; Quality; Process Engineering; Digital Transformation";Pilot for batch process deviation detection;Use compliance-safe wording: advisory analytics, validation-only pilot.;"Regulated sector; requires careful data governance."
